Handle,Title,Body (HTML),Vendor,Standard Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
r-f11007-stainless-steel,R-F11007,"<p>stainless steel  <br>Band 1.2mm                   size5/6/7                               15pcs for each size 14k gold                 1 micron</p>",Gemnel,,,"Nov3Upload, stainless steel",TRUE,Title,Default Title,,,,,,0,,deny,manual,28,,TRUE,TRUE,'26985149,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
n-c11031-brass,N-C11031,<p>Brass Pearl 18mm x 14mm Length: 43cm 14k gold 1 micron</p>,Gemnel,,,"Brass, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,38,,TRUE,TRUE,'26919613,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
n-e3001-2-brass,N-E3001-2,<p>Brass Pearl 18mm x 14mm Length: 43cm 14k gold 1 micron</p>,Gemnel,,,"Brass, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,34,,TRUE,TRUE,'26886845,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
r-f1316-2925-sterling-silver,R-F1316-2,<p>925 Sterling Silver 3mm Opal size5/6/7 15pcs for each size 14k gold 1 micron</p>,Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,28,,TRUE,TRUE,'26526397,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
n-e1021925-sterling-silver,N-E1021,<p>925 Sterling Silver Length: 40cm+5cm 14k gold 1 micron</p>,Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,45,,TRUE,TRUE,'26493629,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
b-r0040-2925-sterling-silver,B-R0040-2,<p>925 Sterling Silver 16cm+4cm 14k gold 1 micron</p>,Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,35,,TRUE,TRUE,'26460861,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
b-r4026925-sterling-silver,B-R4026,"<p>925 Sterling Silver <br>Fixed pendant approx. 7mm in width Length: 16cm+4cm 14k gold 1 micron</p>",Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,32,,TRUE,TRUE,'26428093,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
e-s0146925-sterling-silver,E-S0146,<p>925 Sterling Silver / 14k gold 1 micron</p>,Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,28,,TRUE,TRUE,'26395325,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
e-s1030-2925-sterling-silver,E-S1030-2,<p>925 Sterling Silver 3mm Opal 14k gold 1 micron</p>,Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,29,,TRUE,TRUE,'26362557,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
e-h1359925-sterling-silver,E-H1359,<p>925 Sterling Silver / 14k gold 1 micron</p>,Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,36,,TRUE,TRUE,'26329789,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
e-h1362925-sterling-silver,E-H1362,<p>925 Sterling Silver Diameter 8mm 14k gold 1 micron</p>,Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,34,,TRUE,TRUE,'26297021,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
e-h3090925-sterling-silver,E-H3090,"<p>925 Sterling Silver Inner Dia:8mm, Band:1.2mm 14k gold 1 micron</p>",Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,34,,TRUE,TRUE,'26264253,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
e-h4089-1925-sterling-silver,E-H4089-1,<p>925 Sterling Silver OD: 2.54cm 14k gold 1 micron</p>,Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,36,,TRUE,TRUE,'26034877,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
r-f3177925-sterling-silver,R-F3177,<p>925 Sterling Silver / 14k gold 1 micron</p>,Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,28,,TRUE,TRUE,'26002109,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
r-f1083925-sterling-silver,R-F1083,"<p>925 Sterling Silver <br>Band 2.4-6.6mm 14k gold 1 micron</p>",Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,38,,TRUE,TRUE,'25969341,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
r-f0144925-sterling-silver,R-F0144,"<p>925 Sterling Silver <br>Signet 14mm*3mm 14k gold 1 micron</p>",Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,36,,TRUE,TRUE,'25608893,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
n-e5229925-sterling-silver,N-E5229,"<p>925 Sterling Silver <br>Measurements: 12.7 x 6.5 mm Chain Length: 40+5 cm 14k gold 1 micron</p>",Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,34,,TRUE,TRUE,'25576125,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
n-e5093925-sterling-silver,N-E5093,<p>925 Sterling Silver Chain Length: 40+5 cm 14k gold 1 micron</p>,Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,45,,TRUE,TRUE,'25543357,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
n-e4027925-sterling-silver,N-E4027,<p>925 Sterling Silver Chain Length: 40+5 cm 14k gold 1 micron</p>,Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,34,,TRUE,TRUE,'25510589,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
e-h3126925-sterling-silver,E-H3126,<p>925 Sterling Silver Dia:15mm 14k gold 1 micron</p>,Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,36,,TRUE,TRUE,'25477821,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
e-h3121925-sterling-silver,E-H3121,<p>925 Sterling Silver Size:8*13mm 14k gold 1 micron</p>,Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,32,,TRUE,TRUE,'25445053,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
r-f3243925-sterling-silver,R-F3243,<p>925 Sterling Silver / 14k gold 1 micron</p>,Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,28,,TRUE,TRUE,'25412285,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
n-e5271925-sterling-silver,N-E5271,<p>925 Sterling Silver Length: 40cm+5cm 14k gold 1 micron</p>,Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,34,,TRUE,TRUE,'25379517,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
e-h11155-1925-sterling-silver,E-H11155-1,<p>925 Sterling Silver Inner Dia:8mm 14k gold 1 micron</p>,Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,32,,TRUE,TRUE,'25346749,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
